id,topic,message,timestamp,Temperature (°C),Air Quality,Humidity
413,t4g1,24.8;58.7;38,2024-07-16 09:48:07,24.8,58.7,38
414,t4g1,24.8;59.6;38,2024-07-16 09:58:07,24.8,59.6,38
415,t4g1,24.8;59.9;38,2024-07-16 10:08:08,24.8,59.9,38
416,t4g1,24.8;60.4;39,2024-07-16 10:18:08,24.8,60.4,39
417,t4g1,24.8;59.9;38,2024-07-16 10:28:09,24.8,59.9,38
418,t4g1,24.8;59.9;36,2024-07-16 10:38:10,24.8,59.9,36
419,t4g1,24.9;60.3;38,2024-07-16 10:48:10,24.9,60.3,38
420,t4g1,24.9;59.9;38,2024-07-16 10:58:10,24.9,59.9,38
421,t4g1,24.9;59.7;37,2024-07-16 11:08:11,24.9,59.7,37
422,t4g1,24.9;60.7;38,2024-07-16 11:18:12,24.9,60.7,38
423,t4g1,24.9;60.6;38,2024-07-16 11:28:12,24.9,60.6,38
424,t4g1,24.9;61.0;38,2024-07-16 11:38:13,24.9,61.0,38
425,t4g1,24.9;60.9;37,2024-07-16 11:48:13,24.9,60.9,37
426,t4g1,24.9;61.6;38,2024-07-16 11:58:13,24.9,61.6,38
427,t4g1,25.0;61.1;38,2024-07-16 12:08:14,25.0,61.1,38
428,t4g1,25.0;61.0;39,2024-07-16 12:18:15,25.0,61.0,39
429,t4g1,25.1;62.1;38,2024-07-16 12:28:15,25.1,62.1,38
430,t4g1,25.1;60.8;38,2024-07-16 12:38:16,25.1,60.8,38
431,t4g1,25.0;60.2;37,2024-07-16 12:48:16,25.0,60.2,37
432,t4g1,25.0;59.3;38,2024-07-16 12:58:17,25.0,59.3,38
433,t4g1,25.0;59.0;38,2024-07-16 13:08:17,25.0,59.0,38
434,t4g1,25.0;59.1;38,2024-07-16 13:18:18,25.0,59.1,38
435,t4g1,25.0;60.0;38,2024-07-16 13:28:18,25.0,60.0,38
436,t4g1,25.1;59.0;38,2024-07-16 13:38:19,25.1,59.0,38
437,t4g1,25.2;60.7;38,2024-07-16 13:48:19,25.2,60.7,38
438,t4g1,25.4;60.5;38,2024-07-16 13:58:20,25.4,60.5,38
439,t4g1,25.4;60.9;38,2024-07-16 14:08:20,25.4,60.9,38
440,t4g1,25.5;61.6;38,2024-07-16 14:18:21,25.5,61.6,38
441,t4g1,25.6;61.7;38,2024-07-16 14:28:21,25.6,61.7,38
442,t4g1,25.6;61.7;39,2024-07-16 14:38:22,25.6,61.7,39
443,t4g1,25.6;61.9;40,2024-07-16 14:48:22,25.6,61.9,40
444,t4g1,25.6;61.5;39,2024-07-16 14:58:23,25.6,61.5,39
445,t4g1,25.6;61.9;38,2024-07-16 15:08:23,25.6,61.9,38
446,t4g1,25.6;61.6;38,2024-07-16 15:18:24,25.6,61.6,38
447,t4g1,25.6;62.2;38,2024-07-16 15:28:24,25.6,62.2,38
448,t4g1,25.6;61.7;38,2024-07-16 15:38:25,25.6,61.7,38
449,t4g1,25.8;61.6;39,2024-07-16 15:48:26,25.8,61.6,39
450,t4g1,25.8;61.8;37,2024-07-16 15:58:26,25.8,61.8,37
451,t4g1,25.8;61.4;39,2024-07-16 16:08:27,25.8,61.4,39
452,t4g1,25.9;61.4;38,2024-07-16 16:18:27,25.9,61.4,38
453,t4g1,26.0;61.3;38,2024-07-16 16:28:28,26.0,61.3,38
454,t4g1,26.2;61.4;37,2024-07-16 16:38:28,26.2,61.4,37
455,t4g1,26.2;61.8;37,2024-07-16 16:48:29,26.2,61.8,37
456,t4g1,26.1;62.2;37,2024-07-16 16:58:29,26.1,62.2,37
457,t4g1,26.0;61.9;37,2024-07-16 17:08:30,26.0,61.9,37
458,t4g1,25.9;62.5;37,2024-07-16 17:18:30,25.9,62.5,37
459,t4g1,25.9;62.0;37,2024-07-16 17:28:31,25.9,62.0,37
460,t4g1,25.8;62.1;37,2024-07-16 17:38:32,25.8,62.1,37
461,t4g1,25.8;62.1;38,2024-07-16 17:48:32,25.8,62.1,38
462,t4g1,25.8;62.4;38,2024-07-16 17:58:33,25.8,62.4,38
463,t4g1,25.7;62.7;37,2024-07-16 18:08:33,25.7,62.7,37
464,t4g1,25.6;62.5;38,2024-07-16 18:18:34,25.6,62.5,38
465,t4g1,25.5;62.6;37,2024-07-16 18:28:34,25.5,62.6,37
466,t4g1,25.4;62.3;39,2024-07-16 18:38:35,25.4,62.3,39
467,t4g1,25.3;62.5;38,2024-07-16 18:48:35,25.3,62.5,38
468,t4g1,25.3;62.6;38,2024-07-16 18:58:36,25.3,62.6,38
469,t4g1,25.4;62.5;38,2024-07-16 19:08:36,25.4,62.5,38
470,t4g1,25.6;63.8;37,2024-07-16 19:18:37,25.6,63.8,37
471,t4g1,25.7;64.4;36,2024-07-16 19:28:37,25.7,64.4,36
472,t4g1,25.9;65.0;35,2024-07-16 19:38:38,25.9,65.0,35
473,t4g1,26.0;65.8;34,2024-07-16 19:48:39,26.0,65.8,34
474,t4g1,26.0;66.3;35,2024-07-16 19:58:39,26.0,66.3,35
475,t4g1,26.1;66.9;34,2024-07-16 20:08:40,26.1,66.9,34
476,t4g1,26.1;67.6;33,2024-07-16 20:18:40,26.1,67.6,33
