id,clientID,topic,message,timestamp
1389,t4g4:122,t4g4,27.04;58.90;3,29/7/2024 8:12
1390,t4g4:122,t4g4,26.93;57.45;3,29/7/2024 8:27
1391,t4g4:122,t4g4,26.77;56.71;3,29/7/2024 8:42
1392,t4g4:122,t4g4,26.89;58.14;3,29/7/2024 8:57
1393,t4g4:122,t4g4,27.04;58.75;3,29/7/2024 9:12
1394,t4g4:122,t4g4,27.08;58.54;3,29/7/2024 9:27
1395,t4g4:122,t4g4,27.22;58.52;3,29/7/2024 9:42
1396,t4g4:122,t4g4,27.22;58.76;3,29/7/2024 9:57
1397,t4g4:122,t4g4,27.32;59.32;3,29/7/2024 10:12
1398,t4g4:122,t4g4,27.35;59.04;3,29/7/2024 10:27
1399,t4g4:122,t4g4,27.53;58.99;3,29/7/2024 10:42
1400,t4g4:122,t4g4,27.83;58.83;3,29/7/2024 10:57
1401,t4g4:122,t4g4,27.92;58.88;3,29/7/2024 11:12
1402,t4g4:122,t4g4,28.00;59.05;3,29/7/2024 11:27
1403,t4g4:122,t4g4,28.24;58.06;3,29/7/2024 11:42
1404,t4g4:122,t4g4,28.09;58.57;3,29/7/2024 11:57
1405,t4g4:122,t4g4,28.28;58.34;3,29/7/2024 12:12
1406,t4g4:122,t4g4,28.60;57.43;3,29/7/2024 12:27
1407,t4g4:122,t4g4,28.47;57.73;3,29/7/2024 12:42
1408,t4g4:122,t4g4,28.43;57.71;3,29/7/2024 12:57
1409,t4g4:122,t4g4,28.54;57.21;3,29/7/2024 13:12
1410,t4g4:122,t4g4,28.67;57.23;3,29/7/2024 13:27
1411,t4g4:122,t4g4,28.85;57.31;3,29/7/2024 13:42
1412,t4g4:122,t4g4,28.90;56.96;3,29/7/2024 13:57
1413,t4g4:122,t4g4,28.75;57.44;3,29/7/2024 14:12
1414,t4g4:122,t4g4,28.75;57.46;3,29/7/2024 14:27
1415,t4g4:122,t4g4,28.78;57.00;3,29/7/2024 14:43
1416,t4g4:122,t4g4,29.11;56.13;3,29/7/2024 14:58
1417,t4g4:122,t4g4,29.25;55.87;3,29/7/2024 15:13
1418,t4g4:122,t4g4,29.30;55.82;3,29/7/2024 15:28
1419,t4g4:122,t4g4,29.66;54.77;3,29/7/2024 15:43
1420,t4g4:122,t4g4,29.56;54.58;3,29/7/2024 15:58
1421,t4g4:122,t4g4,29.28;55.11;3,29/7/2024 16:13
1422,t4g4:122,t4g4,29.35;55.04;3,29/7/2024 16:28
1423,t4g4:122,t4g4,29.21;55.25;3,29/7/2024 16:43
1424,t4g4:122,t4g4,29.01;55.81;3,29/7/2024 16:58
1425,t4g4:122,t4g4,28.98;55.74;3,29/7/2024 17:13
1426,t4g4:122,t4g4,28.67;56.11;3,29/7/2024 17:28
1427,t4g4:122,t4g4,28.47;56.95;3,29/7/2024 17:43
1428,t4g4:122,t4g4,28.32;57.31;3,29/7/2024 17:58
1429,t4g4:122,t4g4,28.07;57.80;3,29/7/2024 18:13
1430,t4g4:122,t4g4,28.02;58.54;3,29/7/2024 18:28
1431,t4g4:122,t4g4,27.91;58.73;3,29/7/2024 18:43
1432,t4g4:122,t4g4,27.58;59.10;3,29/7/2024 18:58
1433,t4g4:122,t4g4,27.86;58.61;3,29/7/2024 19:13
1434,t4g4:122,t4g4,28.17;59.62;3,29/7/2024 19:28
1435,t4g4:122,t4g4,28.27;60.77;3,29/7/2024 19:43
1436,t4g4:122,t4g4,28.34;60.98;3,29/7/2024 19:58
1437,t4g4:122,t4g4,28.36;61.43;3,29/7/2024 20:13
1438,t4g4:122,t4g4,28.43;61.67;3,29/7/2024 20:28
1439,t4g4:122,t4g4,28.44;61.89;3,29/7/2024 20:43
1440,t4g4:122,t4g4,28.43;62.13;3,29/7/2024 20:58
1441,t4g4:122,t4g4,28.44;62.45;3,29/7/2024 21:13
1442,t4g4:122,t4g4,28.48;62.52;3,29/7/2024 21:28
1443,t4g4:122,t4g4,28.46;63.01;3,29/7/2024 21:43
1444,t4g4:122,t4g4,28.46;63.44;3,29/7/2024 21:58
1445,t4g4:122,t4g4,28.44;63.38;3,29/7/2024 22:13
1446,t4g4:122,t4g4,28.47;63.87;3,29/7/2024 22:28
1447,t4g4:122,t4g4,28.47;64.40;3,29/7/2024 22:43
1448,t4g4:122,t4g4,28.48;64.27;3,29/7/2024 22:58
1449,t4g4:122,t4g4,28.48;64.57;3,29/7/2024 23:13
1450,t4g4:122,t4g4,28.46;64.69;3,29/7/2024 23:28
1451,t4g4:122,t4g4,28.51;64.76;3,29/7/2024 23:43
1452,t4g4:122,t4g4,28.50;64.82;3,29/7/2024 23:58
1453,t4g4:122,t4g4,28.48;64.75;3,30/7/2024 0:13
1454,t4g4:122,t4g4,28.50;65.27;3,30/7/2024 0:28
1455,t4g4:122,t4g4,28.46;65.78;3,30/7/2024 0:43
1456,t4g4:122,t4g4,28.47;66.15;3,30/7/2024 0:58
1457,t4g4:122,t4g4,28.51;66.34;3,30/7/2024 1:13
1458,t4g4:122,t4g4,28.51;67.16;3,30/7/2024 1:28
1459,t4g4:122,t4g4,28.46;67.95;3,30/7/2024 1:43
1460,t4g4:122,t4g4,28.47;67.95;3,30/7/2024 1:58
1461,t4g4:122,t4g4,28.47;68.39;3,30/7/2024 2:14
1462,t4g4:122,t4g4,28.53;68.51;3,30/7/2024 2:29
1463,t4g4:122,t4g4,28.47;68.56;3,30/7/2024 2:44
1464,t4g4:122,t4g4,28.46;68.25;3,30/7/2024 2:59
1465,t4g4:122,t4g4,28.43;68.37;3,30/7/2024 3:14
1466,t4g4:122,t4g4,28.44;68.94;3,30/7/2024 3:29
1467,t4g4:122,t4g4,28.46;69.15;3,30/7/2024 3:44
1468,t4g4:122,t4g4,28.42;69.59;3,30/7/2024 3:59
1469,t4g4:122,t4g4,28.46;69.38;3,30/7/2024 4:14
1470,t4g4:122,t4g4,28.50;69.96;3,30/7/2024 4:29
1471,t4g4:122,t4g4,28.46;69.94;3,30/7/2024 4:44
1472,t4g4:122,t4g4,28.44;71.18;3,30/7/2024 4:59
1473,t4g4:122,t4g4,28.44;71.39;3,30/7/2024 5:14
1474,t4g4:122,t4g4,28.47;71.07;3,30/7/2024 5:29
1475,t4g4:122,t4g4,28.51;71.14;3,30/7/2024 5:44
1476,t4g4:122,t4g4,28.47;71.75;3,30/7/2024 5:59
1477,t4g4:122,t4g4,28.47;71.15;3,30/7/2024 6:14
1478,t4g4:122,t4g4,28.43;71.09;3,30/7/2024 6:29
1479,t4g4:122,t4g4,28.02;68.47;3,30/7/2024 6:44
1480,t4g4:122,t4g4,27.55;66.80;3,30/7/2024 6:59
1481,t4g4:122,t4g4,27.18;65.68;3,30/7/2024 7:14
1482,t4g4:122,t4g4,26.89;64.37;3,30/7/2024 7:29
1483,t4g4:122,t4g4,26.76;62.86;3,30/7/2024 7:44
1484,t4g4:122,t4g4,26.60;60.92;3,30/7/2024 7:59
1485,t4g4:122,t4g4,26.39;59.56;3,30/7/2024 8:14
1486,t4g4:122,t4g4,26.10;58.59;3,30/7/2024 8:29
1487,t4g4:122,t4g4,25.92;57.59;3,30/7/2024 8:44
1488,t4g4:122,t4g4,26.06;58.28;3,30/7/2024 8:59
1489,t4g4:122,t4g4,26.26;58.99;3,30/7/2024 9:14
1490,t4g4:122,t4g4,26.32;59.20;3,30/7/2024 9:29
1491,t4g4:122,t4g4,26.42;58.95;3,30/7/2024 9:44
1492,t4g4:122,t4g4,26.37;59.25;3,30/7/2024 9:59
1493,t4g4:122,t4g4,26.50;59.50;3,30/7/2024 10:14
1494,t4g4:122,t4g4,26.53;59.42;3,30/7/2024 10:29
1495,t4g4:122,t4g4,26.77;59.10;3,30/7/2024 10:44
1496,t4g4:122,t4g4,26.93;58.91;3,30/7/2024 10:59
1497,t4g4:122,t4g4,26.95;59.49;3,30/7/2024 11:14
1498,t4g4:122,t4g4,27.25;59.24;3,30/7/2024 11:29
1499,t4g4:122,t4g4,27.58;59.10;3,30/7/2024 11:44
1500,t4g4:122,t4g4,27.63;59.45;3,30/7/2024 11:59
1501,t4g4:122,t4g4,27.86;58.88;3,30/7/2024 12:14
1502,t4g4:122,t4g4,27.93;58.62;3,30/7/2024 12:29
1503,t4g4:122,t4g4,28.04;58.71;3,30/7/2024 12:44
1504,t4g4:122,t4g4,27.99;58.63;3,30/7/2024 12:59
1505,t4g4:122,t4g4,28.26;58.41;3,30/7/2024 13:14
1506,t4g4:122,t4g4,28.20;58.29;3,30/7/2024 13:29
1507,t4g4:122,t4g4,28.26;57.70;3,30/7/2024 13:44
1508,t4g4:122,t4g4,28.39;57.40;3,30/7/2024 13:59
1509,t4g4:122,t4g4,28.70;57.15;3,30/7/2024 14:15
1510,t4g4:122,t4g4,28.19;57.93;3,30/7/2024 14:30
1511,t4g4:122,t4g4,27.76;58.77;3,30/7/2024 14:45
1512,t4g4:122,t4g4,27.72;58.41;3,30/7/2024 15:00
1513,t4g4:122,t4g4,28.28;57.43;3,30/7/2024 15:15
1514,t4g4:122,t4g4,28.27;57.24;3,30/7/2024 15:30
1515,t4g4:122,t4g4,28.50;56.37;3,30/7/2024 15:45
1516,t4g4:122,t4g4,28.73;56.39;3,30/7/2024 16:00
1517,t4g4:122,t4g4,28.91;55.49;3,30/7/2024 16:15
1518,t4g4:122,t4g4,28.94;55.33;3,30/7/2024 16:30
1519,t4g4:122,t4g4,29.01;55.57;3,30/7/2024 16:45
1520,t4g4:122,t4g4,28.75;56.07;3,30/7/2024 17:00
