id,clientID,topic,message,timestamp
126,t4g1:113,t4g1,22.8;66.2;23,2024-07-09 13:29:38
127,t4g1:113,t4g1,22.8;66.0;23,2024-07-09 13:29:53
128,t4g1:113,t4g1,22.8;65.9;23,2024-07-09 13:30:08
129,t4g1:113,t4g1,22.8;65.8;23,2024-07-09 13:30:23
130,t4g1:113,t4g1,22.7;65.8;24,2024-07-09 13:30:38
131,t4g1:113,t4g1,22.7;65.9;23,2024-07-09 13:30:53
132,t4g1:113,t4g1,22.7;66.0;23,2024-07-09 13:31:08
133,t4g1:113,t4g1,22.7;66.0;24,2024-07-09 13:31:23
134,t4g1:113,t4g1,22.7;66.1;23,2024-07-09 13:31:38
135,t4g1:113,t4g1,22.7;66.1;23,2024-07-09 13:31:53
136,t4g1:113,t4g1,22.6;66.1;23,2024-07-09 13:32:08
137,t4g1:113,t4g1,22.5;66.2;23,2024-07-09 13:32:23
138,t4g1:113,t4g1,22.6;66.2;23,2024-07-09 13:32:38
139,t4g1:113,t4g1,22.6;66.2;24,2024-07-09 13:32:53
140,t4g1:113,t4g1,22.6;66.1;24,2024-07-09 13:33:08
141,t4g1:113,t4g1,22.6;66.1;23,2024-07-09 13:33:23
142,t4g1:113,t4g1,22.6;66.0;23,2024-07-09 13:33:38
143,t4g1:113,t4g1,22.6;66.1;24,2024-07-09 13:33:53
144,t4g1:113,t4g1,22.6;66.1;23,2024-07-09 13:34:08
145,t4g1:113,t4g1,22.6;66.1;24,2024-07-09 13:34:23
146,t4g1:113,t4g1,22.7;66.1;24,2024-07-09 13:34:38
147,t4g1:113,t4g1,22.7;65.9;23,2024-07-09 13:34:53
148,t4g1:113,t4g1,22.7;66.0;24,2024-07-09 13:35:08
149,t4g1:113,t4g1,22.6;66.2;23,2024-07-09 13:35:23
150,t4g1:113,t4g1,22.6;66.4;23,2024-07-09 13:35:38
151,t4g1:113,t4g1,22.5;66.7;23,2024-07-09 13:35:53
152,t4g1:113,t4g1,22.5;66.8;23,2024-07-09 13:36:08
153,t4g1:113,t4g1,22.5;66.9;23,2024-07-09 13:36:23
154,t4g1:113,t4g1,22.5;67.0;23,2024-07-09 13:36:38
155,t4g1:113,t4g1,22.5;67.0;24,2024-07-09 13:36:54
156,t4g1:113,t4g1,22.5;66.9;23,2024-07-09 13:37:08
157,t4g1:113,t4g1,22.4;66.8;23,2024-07-09 13:37:24
158,t4g1:113,t4g1,22.4;67.1;23,2024-07-09 13:37:39
159,t4g1:113,t4g1,22.3;67.2;24,2024-07-09 13:37:53
160,t4g1:113,t4g1,22.3;67.2;23,2024-07-09 13:38:08
161,t4g1:113,t4g1,22.2;67.5;23,2024-07-09 13:38:23
162,t4g1:113,t4g1,22.2;67.4;23,2024-07-09 13:38:39
163,t4g1:113,t4g1,22.1;67.6;24,2024-07-09 13:38:54
164,t4g1:113,t4g1,22.1;67.7;23,2024-07-09 13:39:09
165,t4g1:113,t4g1,22.0;67.6;23,2024-07-09 13:39:24
166,t4g1:113,t4g1,22.0;67.8;24,2024-07-09 13:39:39
167,t4g1:113,t4g1,22.0;68.0;23,2024-07-09 13:39:54
168,t4g1:113,t4g1,21.9;68.1;23,2024-07-09 13:40:09
169,t4g1:113,t4g1,21.9;68.2;23,2024-07-09 13:40:24
170,t4g1:113,t4g1,21.9;68.3;23,2024-07-09 13:40:39
171,t4g1:113,t4g1,21.9;68.2;23,2024-07-09 13:40:54
172,t4g1:113,t4g1,21.8;68.1;23,2024-07-09 13:41:09
173,t4g1:113,t4g1,21.8;68.2;23,2024-07-09 13:41:24
174,t4g1:113,t4g1,21.9;68.2;23,2024-07-09 13:41:39
175,t4g1:113,t4g1,21.9;68.1;23,2024-07-09 13:41:54
176,t4g1:113,t4g1,21.9;67.9;23,2024-07-09 13:42:09
177,t4g1:113,t4g1,21.9;67.9;23,2024-07-09 13:42:24
178,t4g1:113,t4g1,21.9;68.0;23,2024-07-09 13:42:39
179,t4g1:113,t4g1,21.8;68.3;23,2024-07-09 13:42:54
