id,clientID,topic,message,timestamp
1033,device01:104,device01,0;26.23;26.81;3,25/7/24 07:15
1034,device01:104,device01,0;26.17;26.93;3,25/7/24 07:25
1035,device01:104,device01,0;26.21;27.05;3,25/7/24 07:35
1036,device01:104,device01,0;26.23;27.07;3,25/7/24 07:45
1037,device01:104,device01,0;25.97;27.07;3,25/7/24 07:55
1038,device01:104,device01,0;25.91;27.07;3,25/7/24 08:05
1039,device01:104,device01,6;25.91;27.23;3,25/7/24 08:15
1040,device01:104,device01,6;25.89;27.29;3,25/7/24 08:26
1041,device01:104,device01,24;26.09;27.49;3,25/7/24 08:36
1042,device01:104,device01,40;25.97;27.85;3,25/7/24 08:46
1043,device01:104,device01,24;26.37;28.55;3,25/7/24 08:56
1044,device01:104,device01,48;26.51;29.17;3,25/7/24 09:06
1045,device01:104,device01,48;27.01;29.69;3,25/7/24 09:16
1046,device01:104,device01,31;26.89;29.57;3,25/7/24 09:26
1047,device01:104,device01,48;27.09;29.79;3,25/7/24 09:36
1048,device01:104,device01,31;26.85;29.49;3,25/7/24 09:46
1049,device01:104,device01,19;27.21;30.45;3,25/7/24 09:56
1050,device01:104,device01,13;27.21;29.81;3,25/7/24 10:06
1051,device01:104,device01,31;27.07;29.47;3,25/7/24 10:16
1052,device01:104,device01,31;27.43;30.15;3,25/7/24 10:26
1053,device01:104,device01,48;28.01;31.53;3,25/7/24 10:36
1054,device01:104,device01,68;30.21;35.33;3,25/7/24 10:46
1055,device01:104,device01,50;30.31;34.37;3,25/7/24 10:56
1056,device01:104,device01,86;30.17;35.09;3,25/7/24 11:06
1057,device01:104,device01,62;30.07;34.73;3,25/7/24 11:16
1058,device01:104,device01,48;30.31;33.55;3,25/7/24 11:26
1059,device01:104,device01,68;32.03;37.63;3,25/7/24 11:36
1060,device01:104,device01,68;32.75;38.19;3,25/7/24 11:46
1061,device01:104,device01,37;31.97;36.31;3,25/7/24 11:56
1062,device01:104,device01,48;33.07;37.93;3,25/7/24 12:06
1063,device01:104,device01,62;31.01;35.31;3,25/7/24 12:16
1064,device01:104,device01,86;33.13;38.77;3,25/7/24 12:26
1065,device01:104,device01,72;33.29;37.19;3,25/7/24 12:36
1066,device01:104,device01,13;31.71;34.39;3,25/7/24 12:46
1067,device01:104,device01,40;29.01;31.35;3,25/7/24 12:56
1068,device01:104,device01,55;28.73;31.63;3,25/7/24 13:06
1069,device01:104,device01,13;29.83;32.57;3,25/7/24 13:16
1070,device01:104,device01,13;29.01;31.99;3,25/7/24 13:26
1071,device01:104,device01,68;29.21;33.67;3,25/7/24 13:36
1072,device01:104,device01,68;32.95;38.11;3,25/7/24 13:46
1073,device01:104,device01,55;30.25;34.15;3,25/7/24 13:56
1074,device01:104,device01,37;32.23;35.51;3,25/7/24 14:06
1075,device01:104,device01,92;29.85;34.73;3,25/7/24 14:16
1076,device01:104,device01,48;30.17;32.99;3,25/7/24 14:26
1077,device01:104,device01,110;33.53;39.99;3,25/7/24 14:36
1078,device01:104,device01,86;34.91;40.37;3,25/7/24 14:46
1079,device01:104,device01,55;32.45;35.99;3,25/7/24 14:56
1080,device01:104,device01,68;30.53;35.09;3,25/7/24 15:06
1081,device01:104,device01,37;32.87;37.35;3,25/7/24 15:16
1082,device01:104,device01,55;33.55;37.33;3,25/7/24 15:26
1083,device01:104,device01,74;33.55;37.63;3,25/7/24 15:36
1084,device01:104,device01,86;34.33;39.81;3,25/7/24 15:46
1085,device01:104,device01,68;33.61;37.85;3,25/7/24 15:56
1086,device01:104,device01,64;33.09;37.41;3,25/7/24 16:06
1087,device01:104,device01,48;32.03;34.81;3,25/7/24 16:16
1088,device01:104,device01,72;33.27;36.57;3,25/7/24 16:26
1089,device01:104,device01,86;34.51;39.71;3,25/7/24 16:36
1090,device01:104,device01,86;34.99;39.81;3,25/7/24 16:46
1091,device01:104,device01,103;32.69;37.19;3,25/7/24 16:56
1092,device01:104,device01,48;30.57;33.25;3,25/7/24 17:06
1093,device01:104,device01,103;32.57;37.23;3,25/7/24 17:16
1094,device01:104,device01,86;33.41;38.07;3,25/7/24 17:26
1095,device01:104,device01,86;33.53;38.21;3,25/7/24 17:36
1096,device01:104,device01,86;33.53;37.57;3,25/7/24 17:46
1097,device01:104,device01,95;32.51;36.33;3,25/7/24 17:56
1098,device01:104,device01,79;32.07;35.57;3,25/7/24 18:06
