id,day_of_week,date,month,hour,year
595,1,23,7,11,2024
1422,0,29,7,5,2024
1425,0,29,7,5,2024
674,2,24,7,0,2024
735,2,24,7,10,2024
858,3,25,7,7,2024
838,3,25,7,3,2024
1031,4,26,7,12,2024
1035,4,26,7,12,2024
497,0,22,7,19,2024
1080,4,26,7,20,2024
745,2,24,7,12,2024
422,1,16,7,11,2024
685,2,24,7,2,2024
554,1,23,7,4,2024
1072,4,26,7,18,2024
1170,5,27,7,11,2024
904,3,25,7,14,2024
797,2,24,7,21,2024
1460,0,29,7,11,2024
576,1,23,7,8,2024
1154,5,27,7,8,2024
959,4,26,7,0,2024
654,1,23,7,21,2024
986,4,26,7,4,2024
988,4,26,7,4,2024
898,3,25,7,13,2024
498,0,22,7,19,2024
449,1,16,7,15,2024
1470,0,29,7,13,2024
1016,4,26,7,9,2024
851,3,25,7,6,2024
392,1,16,7,6,2024
1033,4,26,7,12,2024
1161,5,27,7,9,2024
1069,4,26,7,18,2024
341,0,15,7,21,2024
748,2,24,7,12,2024
480,0,22,7,16,2024
563,1,23,7,6,2024
622,1,23,7,15,2024
661,1,23,7,22,2024
649,1,23,7,20,2024
600,1,23,7,12,2024
1255,6,28,7,1,2024
409,1,16,7,9,2024
1430,0,29,7,6,2024
1346,6,28,7,16,2024
1218,5,27,7,19,2024
912,3,25,7,16,2024
993,4,26,7,5,2024
924,3,25,7,18,2024
1108,5,27,7,0,2024
1082,4,26,7,20,2024
1365,6,28,7,19,2024
377,1,16,7,3,2024
945,3,25,7,21,2024
1052,4,26,7,15,2024
1367,6,28,7,20,2024
1393,0,29,7,0,2024
1408,0,29,7,2,2024
617,1,23,7,15,2024
569,1,23,7,7,2024
1264,6,28,7,2,2024
1237,5,27,7,22,2024
627,1,23,7,16,2024
841,3,25,7,4,2024
536,1,23,7,1,2024
703,2,24,7,5,2024
550,1,23,7,3,2024
1116,5,27,7,2,2024
794,2,24,7,20,2024
1022,4,26,7,10,2024
620,1,23,7,15,2024
1420,0,29,7,4,2024
1007,4,26,7,8,2024
1079,4,26,7,20,2024
1222,5,27,7,19,2024
1448,0,29,7,9,2024
564,1,23,7,6,2024
1067,4,26,7,18,2024
905,3,25,7,15,2024
383,1,16,7,4,2024
406,1,16,7,8,2024
856,3,25,7,6,2024
345,0,15,7,22,2024
1167,5,27,7,10,2024
1127,5,27,7,4,2024
763,2,24,7,15,2024
760,2,24,7,14,2024
574,1,23,7,7,2024
519,0,22,7,22,2024
1100,4,26,7,23,2024
1209,5,27,7,17,2024
896,3,25,7,13,2024
680,2,24,7,1,2024
991,4,26,7,5,2024
389,1,16,7,5,2024
396,1,16,7,6,2024
850,3,25,7,5,2024
394,1,16,7,6,2024
772,2,24,7,16,2024
1447,0,29,7,9,2024
1309,6,28,7,10,2024
1216,5,27,7,18,2024
1385,6,28,7,23,2024
1046,4,26,7,14,2024
751,2,24,7,13,2024
1051,4,26,7,15,2024
1437,0,29,7,7,2024
943,3,25,7,21,2024
665,1,23,7,23,2024
511,0,22,7,21,2024
779,2,24,7,18,2024
899,3,25,7,14,2024
317,0,15,7,17,2024
625,1,23,7,16,2024
1039,4,26,7,13,2024
719,2,24,7,8,2024
1354,6,28,7,17,2024
1413,0,29,7,3,2024
958,3,25,7,23,2024
416,1,16,7,10,2024
848,3,25,7,5,2024
1407,0,29,7,2,2024
374,1,16,7,3,2024
596,1,23,7,11,2024
972,4,26,7,2,2024
553,1,23,7,4,2024
538,1,23,7,1,2024
457,1,16,7,17,2024
1428,0,29,7,6,2024
688,2,24,7,2,2024
430,1,16,7,12,2024
1395,0,29,7,0,2024
565,1,23,7,6,2024
1466,0,29,7,12,2024
321,0,15,7,18,2024
764,2,24,7,15,2024
1179,5,27,7,12,2024
704,2,24,7,5,2024
935,3,25,7,20,2024
775,2,24,7,17,2024
1338,6,28,7,15,2024
456,1,16,7,16,2024
816,3,25,7,0,2024
1417,0,29,7,4,2024
492,0,22,7,18,2024
1468,0,29,7,12,2024
1008,4,26,7,8,2024
1248,6,28,7,0,2024
1504,0,29,7,18,2024
319,0,15,7,18,2024
866,3,25,7,8,2024
1149,5,27,7,7,2024
672,2,24,7,0,2024
644,1,23,7,19,2024
1184,5,27,7,13,2024
1253,6,28,7,1,2024
573,1,23,7,7,2024
1196,5,27,7,15,2024
1083,4,26,7,20,2024
911,3,25,7,16,2024
1135,5,27,7,5,2024
840,3,25,7,4,2024
1495,0,29,7,17,2024
1137,5,27,7,5,2024
1213,5,27,7,18,2024
1450,0,29,7,9,2024
755,2,24,7,14,2024
846,3,25,7,5,2024
1265,6,28,7,3,2024
543,1,23,7,2,2024
1350,6,28,7,17,2024
527,1,23,7,0,2024
391,1,16,7,6,2024
460,1,16,7,17,2024
1271,6,28,7,4,2024
1451,0,29,7,10,2024
900,3,25,7,14,2024
445,1,16,7,15,2024
1089,4,26,7,21,2024
723,2,24,7,8,2024
982,4,26,7,3,2024
822,3,25,7,1,2024
1182,5,27,7,13,2024
819,3,25,7,0,2024
1098,4,26,7,23,2024
662,1,23,7,22,2024
701,2,24,7,5,2024
312,0,15,7,16,2024
675,2,24,7,0,2024
1443,0,29,7,8,2024
790,2,24,7,19,2024
1418,0,29,7,4,2024
1061,4,26,7,17,2024
487,0,22,7,17,2024
765,2,24,7,15,2024
437,1,16,7,13,2024
949,3,25,7,22,2024
845,3,25,7,5,2024
402,1,16,7,7,2024
1471,0,29,7,13,2024
496,0,22,7,18,2024
969,4,26,7,1,2024
1304,6,28,7,9,2024
566,1,23,7,6,2024
381,1,16,7,4,2024
443,1,16,7,14,2024
615,1,23,7,14,2024
1129,5,27,7,4,2024
641,1,23,7,19,2024
1324,6,28,7,12,2024
814,2,24,7,23,2024
975,4,26,7,2,2024
1224,5,27,7,20,2024
810,2,24,7,23,2024
653,1,23,7,21,2024
1329,6,28,7,13,2024
476,1,16,7,20,2024
340,0,15,7,21,2024
831,3,25,7,2,2024
508,0,22,7,20,2024
1087,4,26,7,21,2024
484,0,22,7,16,2024
