id,temperature,air_quality,humidity
1008,25.5,61.6,43.0
1248,33.3,55.1,40.0
1504,30.1,51.2,51.0
319,26.4,60.6,28.0
866,25.1,59.9,45.0
1149,31.6,60.4,38.0
672,27.7,72.5,37.0
644,27.2,62.7,43.0
1184,33.6,53.1,37.0
1253,33.1,55.4,41.0
573,26.2,65.3,48.0
1196,34.5,48.4,37.0
1083,31.5,51.1,38.0
911,26.3,60.8,42.0
1135,31.6,59.2,38.0
840,27.4,71.5,42.0
1495,30.6,50.0,43.0
1137,31.6,59.5,37.0
1213,34.8,48.5,42.0
1450,29.4,51.6,46.0
755,26.1,58.5,44.0
846,27.4,72.4,42.0
1265,33.0,56.7,38.0
543,27.7,73.0,39.0
1350,35.7,47.5,40.0
527,27.7,70.3,40.0
391,27.4,75.0,32.0
460,25.8,62.1,37.0
1271,33.0,56.7,43.0
1451,29.4,51.1,46.0
900,25.8,61.2,41.0
445,25.6,61.9,38.0
1089,31.5,53.5,40.0
723,25.4,60.1,48.0
982,27.2,72.2,42.0
822,27.4,68.9,43.0
1182,33.5,53.5,38.0
819,27.3,68.5,42.0
1098,31.5,55.2,39.0
662,27.7,71.2,37.0
701,27.8,74.2,38.0
312,23.9,69.1,24.0
675,27.8,72.5,37.0
1443,29.3,49.6,47.0
790,27.0,64.0,41.0
1418,33.6,56.7,41.0
1061,30.9,48.5,42.0
487,27.2,60.2,44.0
765,26.3,58.6,44.0
437,25.2,60.7,38.0
949,27.1,66.5,41.0
845,27.5,72.2,41.0
402,25.9,64.0,38.0
1471,30.6,50.7,43.0
496,26.7,61.1,44.0
969,27.2,70.9,41.0
1304,33.1,57.7,42.0
566,27.8,75.2,38.0
381,27.3,73.6,36.0
443,25.6,61.9,40.0
615,27.2,58.9,45.0
1129,31.5,58.9,39.0
641,26.5,60.6,45.0
1324,34.4,51.2,39.0
814,27.3,67.9,40.0
975,27.2,71.6,51.0
1224,33.9,51.8,59.0
810,27.3,68.0,39.0
653,27.6,68.6,38.0
1329,34.8,49.9,39.0
476,26.1,67.6,33.0
340,27.0,69.2,28.0
831,27.4,70.8,42.0
508,27.4,66.7,39.0
1087,31.5,53.4,38.0
484,27.2,60.1,44.0
1019,24.7,58.1,48.0
488,27.2,60.3,44.0
833,27.4,70.7,41.0
1225,33.9,52.1,40.0
1383,34.2,53.3,43.0
806,27.3,67.9,41.0
385,27.3,74.4,31.0
1286,32.8,58.3,40.0
902,25.8,61.8,42.0
549,27.7,73.5,39.0
529,27.6,70.8,39.0
1252,33.2,55.5,41.0
444,25.6,61.5,39.0
1042,29.3,50.3,43.0
1328,34.7,50.3,38.0
500,27.1,64.0,41.0
353,27.2,71.4,29.0
420,24.9,59.9,38.0
1472,30.6,50.9,44.0
883,25.3,60.8,43.0
1375,34.5,52.9,43.0
1305,33.2,57.6,41.0
1464,30.3,51.5,45.0
798,27.2,66.3,39.0
783,26.2,59.9,43.0
336,26.9,67.4,28.0
1341,35.4,47.7,39.0
1028,27.8,53.1,57.0
1060,30.9,48.1,42.0
1299,32.9,59.0,39.0
681,27.8,73.2,37.0
1476,30.8,50.7,46.0
1362,35.1,48.6,40.0
698,27.8,74.0,39.0
769,26.4,58.8,43.0
579,25.3,59.7,47.0
1068,30.5,49.2,40.0
1285,32.9,58.0,40.0
759,26.3,58.8,42.0
710,27.8,73.7,38.0
1050,30.6,49.3,43.0
491,27.1,60.2,43.0
330,26.7,63.0,28.0
1015,24.6,58.9,45.0
1121,31.5,58.7,38.0
910,26.3,60.8,42.0
373,27.3,73.2,31.0
587,25.1,57.8,46.0
1435,30.7,54.8,48.0
593,25.5,58.2,45.0
1148,31.6,60.3,39.0
683,27.8,73.4,36.0
1256,33.2,56.4,40.0
1126,31.5,58.7,37.0
1308,33.3,57.1,41.0
1030,29.0,49.5,52.0
1347,35.7,47.7,40.0
862,25.8,63.7,46.0
1396,33.9,54.4,42.0
1205,34.9,47.1,38.0
771,26.6,59.0,42.0
708,27.8,75.0,38.0
990,27.3,73.7,40.0
1217,34.4,49.8,39.0
1461,30.1,51.8,46.0
690,27.8,73.5,38.0
727,25.3,58.5,46.0
386,27.3,74.7,31.0
1431,32.6,56.7,41.0
1168,32.4,57.4,37.0
815,27.3,68.2,40.0
1259,33.1,56.7,41.0
931,26.6,61.2,41.0
426,24.9,61.6,38.0
732,25.2,57.7,46.0
916,26.5,60.2,42.0
919,26.4,59.8,43.0
401,26.0,65.3,38.0
1458,30.1,51.8,46.0
813,27.3,67.8,40.0
1181,33.4,53.6,35.0
1188,34.0,51.6,39.0
1312,33.5,56.0,39.0
323,26.1,60.8,29.0
711,27.7,70.3,39.0
1488,31.0,49.6,44.0
870,24.7,58.2,46.0
354,27.3,71.5,30.0
482,27.1,60.2,45.0
731,25.2,57.9,46.0
891,25.8,61.4,42.0
582,25.2,58.2,48.0
1351,35.7,47.3,41.0
741,25.4,58.8,45.0
1005,26.0,64.5,46.0
859,26.3,66.6,45.0
1432,31.8,57.1,45.0
989,27.3,73.5,41.0
1004,26.1,65.8,47.0
1364,34.9,49.9,40.0
1486,31.0,49.9,44.0
1369,34.7,51.6,39.0
1189,34.0,51.2,36.0
572,26.3,66.0,47.0
650,27.5,66.7,39.0
327,26.4,61.5,28.0
1207,34.9,47.0,39.0
639,26.9,59.5,45.0
922,26.5,59.3,42.0
1363,35.0,49.1,41.0
1117,31.5,58.5,37.0
537,27.7,72.3,39.0
494,26.7,61.0,43.0
411,24.9,58.0,38.0
836,27.4,71.3,41.0
334,26.9,66.3,28.0
671,27.7,71.8,38.0
1361,35.2,48.2,39.0
1421,33.5,56.9,44.0
926,26.2,59.8,42.0
1314,33.6,55.2,40.0
655,27.6,69.3,37.0
746,25.8,59.2,46.0
1140,31.5,59.7,39.0
532,27.7,71.0,40.0
518,27.6,69.2,39.0
1293,32.8,58.6,40.0
405,25.4,60.7,38.0
1104,31.6,56.9,38.0
380,27.3,73.6,31.0
1200,34.6,47.5,37.0
599,25.9,58.2,46.0
1011,24.9,59.6,47.0
397,26.7,68.1,35.0
749,25.9,59.1,44.0
1103,31.6,56.5,42.0
465,25.5,62.6,37.0
387,27.4,74.6,31.0
1352,35.7,47.2,41.0
895,25.6,61.4,42.0
761,26.2,58.9,44.0
1018,24.7,58.2,47.0
503,27.3,65.0,39.0
586,25.1,57.6,46.0
551,27.7,73.5,40.0
802,27.3,67.1,38.0
1475,30.6,51.2,46.0
874,24.7,58.5,44.0
429,25.1,62.1,38.0
952,27.1,67.1,41.0
1506,31.7,49.2,40.0
1065,30.8,48.4,41.0
827,27.4,70.4,42.0
948,27.1,65.6,41.0
1446,29.2,51.4,47.0
1311,33.5,56.2,40.0
1159,31.9,61.2,36.0
438,25.4,60.5,38.0
428,25.0,61.0,39.0
788,26.8,61.8,43.0
1055,30.5,49.1,44.0
1298,32.9,59.0,39.0
369,27.3,73.3,29.0
918,26.3,60.2,43.0
1276,32.9,57.0,42.0
971,27.2,71.4,43.0
1208,34.9,47.1,38.0
1227,33.8,52.5,40.0
417,24.8,59.9,38.0
950,27.2,66.2,40.0
684,27.8,73.5,38.0
583,25.1,57.8,46.0
970,27.2,71.0,43.0
358,27.3,71.8,30.0
664,27.7,71.3,37.0
1088,31.5,53.7,38.0
510,27.5,67.1,39.0
414,24.8,59.6,38.0
316,26.6,60.2,28.0
934,26.8,61.9,40.0
1342,35.4,47.7,39.0
364,27.3,72.8,31.0
578,25.4,60.4,47.0
1402,33.9,55.3,41.0
758,26.2,58.9,43.0
1325,34.4,50.8,39.0
1097,31.6,54.5,41.0
1153,31.7,61.2,36.0
1006,25.7,63.7,48.0
619,27.3,59.6,45.0
656,27.6,69.4,34.0
1172,32.6,56.5,36.0
628,27.9,59.8,45.0
461,25.8,62.1,38.0
436,25.1,59.0,38.0
1372,34.6,52.7,41.0
889,25.6,61.5,42.0
1012,24.8,59.4,45.0
979,27.3,72.2,42.0
362,27.3,72.4,30.0
1041,29.1,51.1,43.0
1114,31.6,58.8,36.0
668,27.7,72.1,37.0
1462,30.1,52.0,45.0
454,26.2,61.4,37.0
785,26.0,59.9,43.0
968,27.2,70.7,41.0
714,26.8,68.0,45.0
1203,34.7,47.2,38.0
1221,34.1,50.9,39.0
635,27.4,60.1,46.0
331,26.7,63.7,28.0
999,27.4,69.2,49.0
347,27.1,70.5,28.0
1139,31.6,59.6,38.0
820,27.4,68.6,43.0
1142,31.6,60.0,37.0
1380,34.3,53.3,44.0
722,25.6,60.7,47.0
1132,31.6,58.7,37.0
852,27.5,73.9,40.0
1073,30.4,48.2,41.0
1378,34.4,53.3,42.0
1344,35.5,47.6,41.0
350,27.2,71.1,30.0
490,27.2,60.8,44.0
560,27.7,74.7,39.0
1125,31.5,58.9,39.0
1394,33.9,54.1,44.0
1268,33.0,56.7,42.0
1099,31.5,55.5,39.0
1494,30.8,49.6,43.0
804,27.3,67.8,37.0
466,25.4,62.3,39.0
953,27.1,67.5,42.0
977,27.2,71.5,43.0
602,26.0,58.4,47.0
940,27.0,64.0,40.0
1436,30.7,53.0,48.0
1000,26.9,68.8,45.0
1321,34.1,52.2,38.0
884,25.3,60.0,43.0
1453,29.6,51.6,45.0
1049,30.2,49.9,44.0
1107,31.6,57.4,38.0
329,26.6,62.5,29.0
439,25.4,60.9,38.0
637,27.3,60.1,46.0
570,26.7,67.5,45.0
1249,33.3,55.1,41.0
1489,30.9,49.7,44.0
505,27.4,66.2,39.0
427,25.0,61.1,38.0
1483,30.9,50.4,44.0
1194,34.4,48.9,36.0
921,26.5,59.5,43.0
495,26.7,60.7,44.0
616,27.1,59.6,45.0
811,27.4,67.9,39.0
1333,35.1,48.5,41.0
1345,35.6,47.6,43.0
1288,32.9,58.3,39.0
1059,31.3,47.4,41.0
1261,33.1,56.9,41.0
832,27.4,70.7,41.0
687,27.8,73.5,39.0
357,27.3,71.8,30.0
791,27.0,64.3,40.0
469,25.4,62.5,38.0
1356,35.6,46.9,41.0
486,27.2,60.3,44.0
328,26.5,62.2,30.0
826,27.4,69.9,42.0
360,27.3,72.2,30.0
506,27.4,66.3,39.0
861,26.0,65.1,46.0
830,27.4,70.8,41.0
1283,32.9,57.7,40.0
1412,33.7,56.4,42.0
1143,31.6,60.2,37.0
1289,32.8,58.5,38.0
795,27.1,65.8,38.0
1500,30.4,50.6,43.0
598,25.8,58.8,46.0
1339,35.3,47.8,39.0
1112,31.6,58.3,38.0
1245,33.3,55.0,41.0
540,27.7,72.8,39.0
338,27.0,68.4,28.0
597,25.6,59.3,45.0
1459,30.1,51.9,44.0
752,26.0,57.9,44.0
1477,30.8,50.7,46.0
679,27.7,72.7,38.0
544,27.7,73.1,40.0
349,27.2,70.9,30.0
984,27.3,72.6,46.0
1064,30.9,48.0,41.0
1490,30.8,50.1,44.0
689,27.8,73.5,38.0
